[,latitude,longitude,]
[,40.27142,-81.60586,]
[,39.1019,-94.42758,]
[,34.76147,-84.96849,]
[,39.65968,-83.74626,]
[,39.43963,-98.69496,]
[,36.09806,-78.29785,]
[,41.24773,-85.87126,]
[,37.04042,-76.4697,]
[,34.12802,-83.58463,]
[,32.4493,-87.52195,]
[,38.53645,-91.00402,]
[,41.51675,-83.79031,]
[,35.22523,-88.24315,]
[,39.64735,-75.33535,]
[,34.73436,-80.10043,]
[,35.12851,-84.72006,]
[,35.92468,-81.50397,]
[,34.11372,-80.94434,]
[,29.86012,-97.96713,]
[,36.13248,-80.65965,]
[,40.12658,-80.00409,]
[,30.03174,-92.51404,]
[,33.99426,-88.49186,]
[,38.78206,-95.1888,]
[,42.99754,-96.04268,]
[,34.24254,-86.95654,]
[,42.8698,-78.28451,]
[,37.23872,-82.07233,]
[,31.44901,-85.65564,]
[,34.64809,-92.30636,]
[,36.67276,-76.93883,]
[,36.85182,-86.8915,]
[,35.03775,-82.07504,]
[,33.20479,-97.15069,]
[,39.33633,-76.45644,]
[,33.37761,-84.29872,]
[,35.95973,-89.96643,]
[,30.13145,-81.78526,]
[,38.92205,-94.50951,]
[,36.56013,-82.20526,]
[,31.12078,-93.27067,]
[,41.95711,-78.64648,]
[,35.75092,-84.00733,]
[,42.05703,-76.81908,]
[,40.41617,-91.12577,]
[,39.83585,-77.90579,]
[,39.73888,-77.53323,]
[,37.43701,-76.31895,]
[,34.73705,-97.21594,]
[,40.9901,-80.32057,]
[,35.07008,-106.51563,]
[,35.86399,-83.74607,]
[,41.58061,-81.23975,]
[,41.6455,-95.32437,]
[,44.4143,-86.15144,]
[,30.25551,-92.26891,]
[,40.89153,-83.87634,]
[,38.4188,-83.73685,]
[,33.59004,-102.36749,]
[,37.68354,-82.7796,]
[,33.65417,-81.35969,]
[,34.0325,-83.40176,]
[,36.3596,-94.2931,]
[,28.70597728,-100.5062097,]
[,32.93432,-80.47598,]
[,41.80311,-92.07011,]
[,34.86992,-86.56911,]
[,34.24804,-84.30667,]
[,38.08226,-85.88159,]
[,38.71059,-93.98866,]
[,38.74007,-98.22038,]
[,31.8852,-102.37215,]
[,43.37311,-99.84265,]
[,39.00794,-94.44624,]
[,37.68597,-92.67071,]
[,37.14906,-88.71812,]
[,40.57054048,-84.19169153,]
[,38.27234,-87.69117,]
[,39.44928,-82.21965,]
[,40.86832,-75.79095,]
[,34.24712,-80.59708,]
[,41.28811,-88.26646,]
[,32.87959649,-111.7374503,]
[,35.97767,-80.001,]
[,40.01142,-78.37292,]
[,39.28265,-80.55798,]
[,39.99222,-81.15128,]
[,43.05925,-92.31396,]
[,34.23051666,-96.6645634,]
[,33.61205,-95.04181,]
[,33.58389,-95.90067,]
[,32.16697,-97.13593,]
[,29.16884,-95.4187,]
[,42.03283,-97.40659,]
[,42.01875,-91.59937,]
[,34.64446,-97.15775,]
[,41.54591,-83.61961,]
[,41.32475,-89.19949,]
[,28.03669,-97.4976,]
[,40.58257,-98.36753,]
[,43.02568,-74.98506,]
[,41.91161,-86.00169,]
[,45.6405,-84.45837,]
[,33.87566,-89.17772,]
[,32.20585,-95.83555,]
[,43.4268,-88.16311,]
[,42.53812,-83.47765,]
[,29.8553,-94.8639,]
[,35.48240993,-83.00877512,]
[,38.48155,-101.36891,]
[,37.3323,-85.32811,]
[,33.53649,-92.84881,]
[,35.90673,-78.58821,]
[,34.81646,-87.6627,]
[,36.91695,-80.30884,]
[,31.82308,-81.63039,]
[,38.72976,-82.85524,]
[,32.84973,-96.6828,]
[,43.65071,-94.09443,]
[,32.54924,-85.91486,]
[,29.38391,-98.45637,]
[,37.82194,-88.93266,]
[,30.35822,-87.1576,]
[,39.29857,-84.56335,]
[,34.1926,-82.16127,]
[,33.4406,-84.31535,]
[,30.50074,-90.94347,]
[,32.55901,-92.91401,]
[,36.29838,-76.98723,]
[,33.33618,-84.74542,]
[,31.72446,-86.9548,]
[,30.76185,-93.54304,]
[,34.8885,-87.79793,]
[,30.08649,-97.49641,]
[,34.35624,-82.05643,]
[,33.10306,-86.74918,]
[,33.97893,-88.47394,]
[,31.35046,-89.19978,]
[,35.76741,-89.53876,]
[,30.51571,-88.69516,]
[,30.20531,-93.87306,]
[,36.25811,-93.12572,]
[,34.85614,-87.55255,]
[,32.55071,-82.91659,]
[,38.04014,-84.88589,]
[,37.36826,-77.41747,]
[,30.54943,-91.05354,]
[,39.80795,-84.02856,]
[,31.75384,-93.08482,]
[,31.98361,-81.22224,]
[,35.87495,-84.17448,]
[,33.49913,-81.95988,]
[,36.10348,-84.58237,]
[,30.33553,-97.56016,]
